"var_star","estimate","se","df","t value","pval","conf.low","conf.high","effect","model","model_term_number"
"Partner Sexual Attract.",-0.160300033874024,0.0362499420308716,477.821251503366,-4.42207697153025,0.0000121139090667957,-0.231348614696197,-0.0892514530518508,"fixed","EP_HPSMSy","EP_HPSMSy.10"
"Progesterone (mean)",-0.00301931766738368,0.0449577700168381,480.857271287777,-0.0671589731041565,0.946483060538868,-0.0911349277256209,0.0850962923908536,"fixed","EP_HPSMSy","EP_HPSMSy.11"
"Progesterone (mean) * Partner Sexual Attract.",-0.0381281298749163,0.0488094243939053,480.032861331136,-0.781163276321637,0.435091541264794,-0.133792843793101,0.0575365840432689,"fixed","EP_HPSMSy","EP_HPSMSy.12"
"Progesterone (mean) * Self Sexual Attract.",-0.00443246510035649,0.0520160070744982,477.199240791841,-0.0852134823422382,0.93212741096216,-0.106381965585954,0.0975170353852407,"fixed","EP_HPSMSy","EP_HPSMSy.13"
"Progesterone (WW)",-0.0763632904031335,0.0125878774164046,433.636138765743,-6.06641516095608,0.00000000285192140124779,-0.101035076781092,-0.0516915040251754,"fixed","EP_HPSMSy","EP_HPSMSy.14"
"Progesterone (WW) * Partner Sexual Attract.",0.0500359198090759,0.0127854707672885,429.245852257501,3.91349843269693,0.000105753713806094,0.0249768575798008,0.075094982038351,"fixed","EP_HPSMSy","EP_HPSMSy.15"
"Progesterone (WW) * Self Sexual Attract.",-0.0219001922768134,0.0135111195923544,432.688113478871,-1.62090137143085,0.105767269026332,-0.0483815000686416,0.00458111551501471,"fixed","EP_HPSMSy","EP_HPSMSy.16"
"Self Sexual Attract.",0.0876032497355058,0.0374691208713351,467.671857220516,2.33801188013793,0.019807298404687,0.0141651222953109,0.161041377175701,"fixed","EP_HPSMSy","EP_HPSMSy.17"
"Study",0.0140039481308327,0.034510672931925,467.550666824657,0.405786005925081,0.685085476604916,-0.0536357278979817,0.081643624159647,"fixed","EP_HPSMSy","EP_HPSMSy.18"
"Study * Estradiol (mean)",-0.004448334803154,0.0435379569578215,475.389045959845,-0.102171418090735,0.918663695317015,-0.0897811624009392,0.0808844927946312,"fixed","EP_HPSMSy","EP_HPSMSy.19"
"Study * Estradiol (mean) * Partner Sexual Attract.",-0.0479867456023363,0.0474651638913392,473.258046055917,-1.01098872664152,0.312538424512623,-0.141016757349652,0.0450432661449796,"fixed","EP_HPSMSy","EP_HPSMSy.20"
"Study * Estradiol (mean) * Self Sexual Attract.",0.0163906435685142,0.0485330359011663,472.621083861007,0.337721373991367,0.735723113686238,-0.0787323588581611,0.11151364599519,"fixed","EP_HPSMSy","EP_HPSMSy.21"
"Study * Estradiol (WW)",-0.0000366379627575278,0.0123998003059853,428.184289335364,-0.00295472199982471,0.997643852435741,-0.0243397999779774,0.0242665240524623,"fixed","EP_HPSMSy","EP_HPSMSy.22"
"Study * Estradiol (WW) * Partner Sexual Attract.",0.0189703967930607,0.0126545678761514,432.57725356581,1.4990947915979,0.134578455581736,-0.00583210048411356,0.0437728940702349,"fixed","EP_HPSMSy","EP_HPSMSy.23"
"Study * Estradiol (WW) * Self Sexual Attract.",0.0151924117357987,0.0130264634620523,421.75538506815,1.16627293202457,0.244163178821821,-0.0103389874957508,0.0407238109673481,"fixed","EP_HPSMSy","EP_HPSMSy.24"
"Study * Partner Sexual Attract.",0.0145250372981651,0.0361370460844636,470.42661290645,0.40194312684594,0.687908431702447,-0.0563022715350477,0.085352346131378,"fixed","EP_HPSMSy","EP_HPSMSy.25"
"Study * Progesterone (mean)",0.0263688013294946,0.0444137849703889,480.968498723793,0.593707592070231,0.55298681369147,-0.060680617629574,0.113418220288563,"fixed","EP_HPSMSy","EP_HPSMSy.26"
"Study * Progesterone (mean) * Partner Sexual Attract.",0.0447279172605516,0.04755700938602,480.542160629265,0.940511563658163,0.347427747863577,-0.0484821083484809,0.137937942869584,"fixed","EP_HPSMSy","EP_HPSMSy.27"
"Study * Progesterone (mean) * Self Sexual Attract.",0.0253705351569221,0.0499052206787189,477.852985758019,0.508374370694666,0.611425430059194,-0.0724419000138904,0.123182970327735,"fixed","EP_HPSMSy","EP_HPSMSy.28"
"Study * Progesterone (WW)",-0.00327878270799256,0.0125672600476664,433.782179572481,-0.260898771534642,0.794294385291518,-0.0279101597857679,0.0213525943697828,"fixed","EP_HPSMSy","EP_HPSMSy.29"
"Study * Progesterone (WW) * Partner Sexual Attract.",0.000497943951625544,0.0127685942361883,429.89684366123,0.0389975546575274,0.968910441465594,-0.0245280408845093,0.0255239287877603,"fixed","EP_HPSMSy","EP_HPSMSy.30"
"Study * Progesterone (WW) * Self Sexual Attract.",-0.00838616004817968,0.0132675849430126,433.855966062814,-0.632078866214176,0.527668274719252,-0.0343901486983103,0.0176178286019509,"fixed","EP_HPSMSy","EP_HPSMSy.31"
"Study * Self Sexual Attract.",0.0170321956241772,0.036808487160332,467.812092091744,0.462724684934419,0.643776879960264,-0.0551111135354784,0.0891755047838328,"fixed","EP_HPSMSy","EP_HPSMSy.32"
"(Intercept)",-0.0217820952348663,0.0368518232105641,376.091088617401,-0.59107239037829,0.554826975240441,-0.094010341492209,0.0504461510224765,"fixed","EP_PRCPSMSyBMI","EP_PRCPSMSyBMI.1"
"Menses",-0.0390002855205918,0.016921530033166,9373.07920488214,-2.30477299890445,0.0212010360024916,-0.0721658749489101,-0.00583469609227351,"fixed","EP_PRCPSMSyBMI","EP_PRCPSMSyBMI.2"
"Menses * Study * Partner Sexual Attract.",-0.0579520502613393,0.0169949419790203,9359.31085312552,-3.40995870023441,0.000652470849803306,-0.0912615244595669,-0.0246425760631116,"fixed","EP_PRCPSMSyBMI","EP_PRCPSMSyBMI.3"
"Partner Sexual Attract.",-0.148089215776718,0.0378788649232258,375.446635297442,-3.90954734459098,0.000109711970887073,-0.222330426801498,-0.0738480047519376,"fixed","EP_PRCPSMSyBMI","EP_PRCPSMSyBMI.4"
"Probability of Conception (mean)",-0.0145180583114407,0.0355992883366007,386.619662698858,-0.407818779245491,0.683632462711897,-0.0842913813264349,0.0552552647035534,"fixed","EP_PRCPSMSyBMI","EP_PRCPSMSyBMI.5"
"Probability of Conception (mean) * Partner Sexual Attract.",0.038699082078334,0.0377488364419947,381.736849760833,1.0251728457326,0.305930822545049,-0.0352872778062686,0.112685441962937,"fixed","EP_PRCPSMSyBMI","EP_PRCPSMSyBMI.6"
"Probability of Conception (mean) * Self Sexual Attract.",-0.0372419677898728,0.0451946578118903,386.4805265041,-0.824034733151022,0.410428057898534,-0.12582186939479,0.051337933815044,"fixed","EP_PRCPSMSyBMI","EP_PRCPSMSyBMI.7"
"Probability of Conception (WW)",0.0607134773136647,0.0112950933033917,349.450523544295,5.37520812647327,0.000000140133279924292,0.0385755012369975,0.0828514533903319,"fixed","EP_PRCPSMSyBMI","EP_PRCPSMSyBMI.8"
"Probability of Conception (WW) * Partner Sexual Attract.",-0.0533923950441377,0.0111788750298844,332.385750949541,-4.77618677205033,0.00000268387847557385,-0.0753025874903852,-0.0314822025978901,"fixed","EP_PRCPSMSyBMI","EP_PRCPSMSyBMI.9"
"Probability of Conception (WW) * Self Sexual Attract.",0.0123728134646405,0.0125131544081467,332.073572289999,0.988784527152092,0.323488486120032,-0.0121525185083157,0.0368981454375967,"fixed","EP_PRCPSMSyBMI","EP_PRCPSMSyBMI.10"
"Self Sexual Attract.",0.0842444944594446,0.0417210853022797,372.724446952585,2.01923065637129,0.0441786357538552,0.00247266987105302,0.166016319047836,"fixed","EP_PRCPSMSyBMI","EP_PRCPSMSyBMI.11"
"Study",0.016653289789518,0.0367283413886421,371.669367589975,0.453417964435167,0.65051241171063,-0.0553329365441124,0.0886395161231484,"fixed","EP_PRCPSMSyBMI","EP_PRCPSMSyBMI.12"
"Study * Partner Sexual Attract.",0.0411976864349707,0.0379851148642406,379.788092683621,1.08457448614311,0.278798157581736,-0.0332517706475579,0.115647143517499,"fixed","EP_PRCPSMSyBMI","EP_PRCPSMSyBMI.13"
"Study * Probability of Conception (mean)",-0.044067620857924,0.0349960457769285,387.171093530291,-1.25921714524034,0.208710539314666,-0.112658610182019,0.0245233684661708,"fixed","EP_PRCPSMSyBMI","EP_PRCPSMSyBMI.14"
"Study * Probability of Conception (mean) * Partner Sexual Attract.",-0.0393603411218937,0.0369230475160942,382.282433741878,-1.06601008773009,0.287091870204378,-0.111728184452899,0.0330075022091119,"fixed","EP_PRCPSMSyBMI","EP_PRCPSMSyBMI.15"
"Study * Probability of Conception (mean) * Self Sexual Attract.",-0.0415450896478919,0.0440996432731187,386.888711874813,-0.942073145367507,0.346743058243394,-0.127978802194269,0.0448886228984847,"fixed","EP_PRCPSMSyBMI","EP_PRCPSMSyBMI.16"
"Study * Probability of Conception (WW)",-0.000597629598053451,0.0111696585404197,334.878899883917,-0.0535047330131719,0.957361663371788,-0.0224897580568863,0.0212944988607794,"fixed","EP_PRCPSMSyBMI","EP_PRCPSMSyBMI.17"
"Study * Probability of Conception (WW) * Partner Sexual Attract.",0.00683002928968071,0.0113119270728777,349.304528982669,0.603790074465461,0.546375121852716,-0.0153409403689032,0.0290009989482647,"fixed","EP_PRCPSMSyBMI","EP_PRCPSMSyBMI.18"
"Study * Probability of Conception (WW) * Self Sexual Attract.",0.0131106580294955,0.0122972345137568,332.153423033034,1.06614686536463,0.287131596108221,-0.0109914787269107,0.0372127947859016,"fixed","EP_PRCPSMSyBMI","EP_PRCPSMSyBMI.19"
"Study * Self Sexual Attract.",0.0229220828107559,0.0410216038020452,372.796711393279,0.558780756631779,0.576646839076113,-0.0574787832293241,0.103322948850836,"fixed","EP_PRCPSMSyBMI","EP_PRCPSMSyBMI.20"
"(Intercept)",-0.0151015462008847,0.0374029198440746,373.91938343365,-0.40375313648881,0.686625062653619,-0.0884099220119093,0.0582068296101399,"fixed","EP_HPSMSyBMI","EP_HPSMSyBMI.1"
